id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
84,True,Tehran,Sunday 03AM,گوشی بسیار زیبا و سالم ضد آب به همراه ٣عدد قاب و یک جای موبایل و یک گلس,5,NA,mobile,470000,گوشی موبایل XperiaV,NA,NA
165,True,Tehran,Thursday 03AM,"درود
گوشى سالمو تمیزه
تعمیر نشده
شارژر و هندس فرى استفاده نشده
LLA
به خریدار واقعى تخفیف میدم
فقط مصرف کننده
فورى",4,NA,mobile,1700000,iphone$NUMgig,NA,NA
423,True,Tabriz,Wednesday 07AM,سلام . گوشی فقط یبار از دستم افتاده دوربرش خط افتاده . گوشی از لحاظ فنی عالی همه چی با کوچیکترین هنگی گوشی و پس میگرم. دوربین 13 و جلو 5 . صفحه ی 6 اینچ. اندورید 5.1.1,3,NA,mobile,670000,هواوی میت 7,NA,NA
591,False,Tabriz,Monday 10AM,"در حد نو،یک ماهه از ترکیه خریدم،برنامه های اندرویدم باز میکنه، 16گیگ، 
 تخفیفم واسه مشتری واقعی میدم",0,NA,mobile,450000,BlackBerry Z10,NA,NA
599,True,Tabriz,Wednesday 01PM,گوشی خیلی تمیز بدون خط خش و کارکرد عالی و تضمینی با گلس وتممام وسایل معاوضه با جی5 یا جی7 ۲۰۱۶برنگ مشکی,0,NA,mobile,610000,j7تری جی,NA,NA
648,True,Ahvaz,Thursday 04PM,"گوشی دو ماه کارکرده تمیییز اس..قیمت ۴۵۰ مقطووع 

سری اول میباشد",1,NA,mobile,450000,گوشی j5 2015,NA,NA
661,False,Mashhad,Wednesday 07AM,دوربین دار رم خور لوازم کامل فقط تماس یا تلگرام دیوار جون مادرت تایید کن بارچندمه داری حذف میکنی ا,1,NA,mobile,115000,گوشی نوکیا صفحه لمسی دوسیم,NA,NA
680,True,Kermanshah,Thursday 04AM,سالم ب همراه کارتون.مقطوع فقط رمزشویادم رفته,2,NA,mobile,50000,گوشی n70نوکیا,NA,NA
695,True,Mashhad,Saturday 08AM,"باسلام. 
گوشی HTC مدل دیزایر 300.
کاملا تمیز .دارای گلس ضد ضربه. 
صفحه 5 اینچ. 
دوربین 5 مگاپیکسل. 
با خریدار واقعی راه میام. 
تلگرامم هستم .باتشکر از دیوار.",2,NA,mobile,265000,فروش مناسب HTC با لوازم کامل و اصلی,NA,NA
755,False,Tehran,Tuesday 12PM,کامل با جعبه,1,NA,web,190000,سونی اکسپریا پی,NA,NA
